patch,trait,play_count,avg_placement,top4_rate
8,TFT17_ADMIN,9,6.0,0.1111111111111111
8,TFT17_APTrait,16,4.5,0.5625
8,TFT17_ASTrait,14,4.285714285714286,0.5714285714285714
8,TFT17_AssassinTrait,29,4.0344827586206895,0.6206896551724138
8,TFT17_Astronaut,9,3.5555555555555554,0.7777777777777778
8,TFT17_BlitzcrankUniqueTrait,20,4.05,0.6
8,TFT17_DRX,45,4.511111111111111,0.4888888888888889
8,TFT17_DarkStar,33,4.303030303030303,0.48484848484848486
8,TFT17_Fateweaver,14,3.857142857142857,0.6428571428571429
8,TFT17_FioraUniqueTrait,17,4.411764705882353,0.5294117647058824
8,TFT17_FlexTrait,33,4.181818181818182,0.5454545454545454
8,TFT17_GravesTrait,8,4.375,0.625
8,TFT17_HPTank,43,4.511627906976744,0.5116279069767442
8,TFT17_JhinUniqueTrait,15,3.3333333333333335,0.7333333333333333
8,TFT17_ManaTrait,22,4.909090909090909,0.36363636363636365
8,TFT17_Mecha,15,4.8,0.4
8,TFT17_MeleeTrait,38,4.421052631578948,0.5
8,TFT17_MissFortuneUniqueTrait,1,2.0,1.0
8,TFT17_MorganaUniqueTrait,16,3.4375,0.75
8,TFT17_Primordian,10,3.8,0.6
8,TFT17_PsyOps,13,4.230769230769231,0.6153846153846154
8,TFT17_RangedTrait,11,4.545454545454546,0.5454545454545454
8,TFT17_ResistTank,40,4.4,0.55
8,TFT17_RhaastUniqueTrait,36,3.861111111111111,0.5833333333333334
8,TFT17_ShenUniqueTrait,18,4.611111111111111,0.5555555555555556
8,TFT17_ShieldTank,39,4.615384615384615,0.46153846153846156
8,TFT17_SonaUniqueTrait,5,5.8,0.2
8,TFT17_SpaceGroove,48,4.604166666666667,0.4791666666666667
8,TFT17_Stargazer_Fountain,1,2.0,1.0
8,TFT17_Stargazer_Medallion,5,4.0,0.8
8,TFT17_Stargazer_Mountain,3,5.333333333333333,0.0
8,TFT17_Stargazer_Serpent,5,4.4,0.6
